,r,g,b,i,ndvi,height,label,date,rd_x,rd_y,season
0,0.3593023255813953,0.37360594795539037,0.41471571906354515,0.44007609384908053,0.8111111111111112,0.00392156862745098,Zand,20190302 105726,88701.76,471428.85,Spring
1,0.41860465116279066,0.4544609665427509,0.5225752508361203,0.5656309448319594,0.888888888888889,0.00392156862745098,Zand,20190302 105726,88721.52,470912.3,Spring
2,0.3186046511627907,0.2788104089219331,0.25501672240802675,0.3303741280913126,0.7000000000000001,0.6235294117647059,Struweel,20190302 105726,88864.75,470850.32,Spring
3,0.43837209302325575,0.4814126394052045,0.5652173913043479,0.6296766011414078,0.9222222222222222,0.00392156862745098,Zand,20190302 105726,88518.12,470826.0,Spring
4,0.19767441860465113,0.14684014869888476,0.1145484949832776,0.12111604311984782,0.37777777777777777,0.00392156862745098,Pad,20190302 105726,89275.201,471856.199,Spring
5,0.3744186046511627,0.3550185873605948,0.33695652173913043,0.3677869372225745,0.7111111111111111,0.0,Water,20190302 105726,88364.58,470599.96,Spring
6,0.27209302325581397,0.26115241635687736,0.24749163879598662,0.2536461636017755,0.6222222222222223,0.00392156862745098,Zand,20190302 105726,87707.516,469920.189,Spring
7,0.21976744186046515,0.17565055762081785,0.13712374581939799,0.16233354470513633,0.47777777777777786,0.3529411764705882,Struweel,20190302 105726,89081.779,471956.212,Spring
8,0.3011627906976744,0.2602230483271375,0.22575250836120403,0.22954977805960686,0.5444444444444444,0.00392156862745098,Laag gras,20190302 105726,89260.326,471769.772,Spring
9,0.1941860465116279,0.15520446096654275,0.11956521739130435,0.14267596702599872,0.4444444444444444,0.788235294117647,Bos,20190302 105726,89615.725,472113.13,Spring
10,0.23023255813953492,0.19981412639405202,0.1714046822742475,0.23208623969562459,0.6222222222222223,0.403921568627451,Struweel,20190302 105726,88684.439,471686.159,Spring
11,0.23953488372093024,0.2137546468401487,0.20484949832775917,0.2916930881420418,0.7222222222222222,0.14509803921568626,Hoog gras,20190302 105726,88708.069,471654.917,Spring
12,0.23953488372093024,0.20910780669144982,0.18394648829431437,0.21496512365250475,0.5777777777777778,0.16862745098039217,Hoog gras,20190302 105726,88616.1083,471659.1439,Spring
13,0.22209302325581393,0.19144981412639403,0.16387959866220736,0.1896005072923272,0.5444444444444444,0.00392156862745098,Laag gras,20190302 105726,88617.362,471648.302,Spring
14,0.3883720930232558,0.3689591078066915,0.34364548494983277,0.3608116677235257,0.688888888888889,0.0,Water,20190302 105726,88342.79,470571.44,Spring
15,0.31162790697674414,0.2890334572490706,0.2993311036789298,0.37412809131261887,0.7777777777777778,0.49019607843137253,Laag gras,20190302 105726,88817.611,470869.189,Spring
16,0.2755813953488372,0.23141263940520443,0.21153846153846156,0.28852251109701965,0.6777777777777779,0.592156862745098,Struweel,20190302 105726,88875.561,470853.92,Spring
17,0.2779069767441861,0.24442379182156135,0.2408026755852843,0.25935320228281544,0.6222222222222223,0.00392156862745098,Pad,20190302 105726,88766.629,471740.526,Spring
18,0.38953488372093026,0.3605947955390335,0.3377926421404682,0.3658845909955612,0.7000000000000001,0.00392156862745098,Zand,20190302 105726,88741.7,470682.28,Spring
19,0.3395348837209302,0.31412639405204457,0.290133779264214,0.31198478123018386,0.6555555555555556,0.4117647058823529,Struweel,20190302 105726,88324.65,470609.61,Spring
20,0.2267441860465116,0.20631970260223045,0.1688963210702341,0.3132530120481928,0.7666666666666667,0.00392156862745098,Laag gras,20190302 105726,87953.4,469948.07,Spring
21,0.19069767441860463,0.16171003717472118,0.12290969899665552,0.13823715916296764,0.4444444444444444,0.18823529411764706,Laag gras,20190302 105726,87827.018,469945.491,Spring
22,0.18023255813953487,0.14312267657992564,0.11120401337792643,0.15789473684210525,0.5111111111111112,0.2392156862745098,Struweel,20190302 105726,88517.91,471367.65,Spring
23,0.31162790697674414,0.2992565055762082,0.28678929765886285,0.3512999365884591,0.7444444444444446,0.00392156862745098,Hoog gras,20190302 105726,88468.971,471411.524,Spring
24,0.4337209302325581,0.48884758364312264,0.5752508361204014,0.6265060240963856,0.9222222222222222,0.00392156862745098,Zand,20190302 105726,88647.86,471009.67,Spring
25,0.38372093023255816,0.4061338289962825,0.4531772575250836,0.49270767279644895,0.8444444444444444,0.13333333333333333,Zand,20190302 105726,88174.09,470433.76,Spring
26,0.20813953488372094,0.18866171003717472,0.17558528428093645,0.2257450856055802,0.6333333333333334,0.13333333333333333,Hoog gras,20190302 105726,88192.33,470944.474,Spring
27,0.21511627906976738,0.1877323420074349,0.16806020066889632,0.23589093214965123,0.6444444444444445,0.09019607843137255,Laag gras,20190302 105726,88501.64,471307.06,Spring
28,0.46744186046511627,0.4470260223048327,0.41889632107023406,0.4134432466708941,0.7000000000000001,0.00392156862745098,Zand,20190302 105726,88921.76,471845.07,Spring
29,0.5709302325581395,0.5511152416356877,0.5351170568561874,0.5396322130627774,0.7555555555555556,0.2980392156862745,Struweel,20190302 105726,88764.44,471815.78,Spring
30,0.1883720930232558,0.13754646840148696,0.09949832775919734,0.12365250475586557,0.4,0.6745098039215687,Bos,20190302 105726,89104.83,472040.04,Spring
31,0.3930232558139535,0.36338289962825276,0.3419732441471572,0.3652504755865567,0.688888888888889,0.5215686274509804,Struweel,20190302 105726,89457.29,471650.11,Spring
32,0.9500000000000001,0.9377323420074349,0.9172240802675586,0.8928344958782499,0.8222222222222223,0.592156862745098,Struweel,20190302 105726,88992.78,471040.71,Spring
33,0.40930232558139534,0.4451672862453532,0.5091973244147157,0.5573874445149017,0.888888888888889,0.00392156862745098,Zand,20190302 105726,88726.08,470913.93,Spring
34,0.6197674418604651,0.6013011152416357,0.5785953177257526,0.5783132530120483,0.7666666666666667,0.00392156862745098,Laag gras,20190302 105726,88641.92,470532.17,Spring
35,0.3988372093023256,0.40706319702602234,0.43645484949832775,0.4616360177552314,0.7999999999999999,0.00392156862745098,Zand,20190302 105829,88701.76,471428.85,Spring
36,0.39186046511627903,0.4219330855018587,0.4657190635451505,0.4984147114774889,0.8444444444444444,0.00392156862745098,Zand,20190302 105829,88721.52,470912.3,Spring
37,0.2674418604651163,0.24163568773234198,0.23411371237458195,0.3392517438173748,0.7666666666666667,0.6235294117647059,Struweel,20190302 105829,88864.75,470850.32,Spring
38,0.4162790697674419,0.44795539033457255,0.5125418060200668,0.5529486366518707,0.8777777777777779,0.00392156862745098,Zand,20190302 105829,88518.12,470826.0,Spring
39,0.4569767441860465,0.4340148698884758,0.42056856187290975,0.4495878249841471,0.7444444444444446,0.00392156862745098,Pad,20190302 105829,89275.201,471856.199,Spring
40,0.2360465116279069,0.20353159851301114,0.1923076923076923,0.2599873176918199,0.6666666666666666,0.0,Water,20190302 105829,88364.58,470599.96,Spring
41,0.33720930232558133,0.3485130111524164,0.37541806020066887,0.39822447685478757,0.7777777777777778,0.00392156862745098,Zand,20190302 105829,87707.516,469920.189,Spring
42,0.2709302325581395,0.23605947955390336,0.2173913043478261,0.2752060875079264,0.6666666666666666,0.3529411764705882,Struweel,20190302 105829,89081.779,471956.212,Spring
43,0.4511627906976744,0.43122676579925656,0.41638795986622074,0.45022194039315155,0.7444444444444446,0.00392156862745098,Laag gras,20190302 105829,89260.326,471769.772,Spring
44,0.4686046511627907,0.45167286245353155,0.43645484949832775,0.4616360177552314,0.7444444444444446,0.788235294117647,Bos,20190302 105829,89615.725,472113.13,Spring
45,0.4848837209302326,0.4572490706319703,0.4280936454849498,0.4267596702599873,0.7000000000000001,0.403921568627451,Struweel,20190302 105829,88684.439,471686.159,Spring
46,0.7395348837209302,0.7239776951672863,0.7031772575250836,0.6943563728598605,0.7888888888888889,0.14509803921568626,Hoog gras,20190302 105829,88708.069,471654.917,Spring
47,0.4709302325581395,0.44609665427509293,0.4272575250836121,0.4394419784400761,0.7222222222222222,0.16862745098039217,Hoog gras,20190302 105829,88616.1083,471659.1439,Spring
48,0.45232558139534884,0.4321561338289963,0.41304347826086957,0.4223208623969562,0.7222222222222222,0.00392156862745098,Laag gras,20190302 105829,88617.362,471648.302,Spring
49,0.23488372093023258,0.20353159851301114,0.1906354515050167,0.258719086873811,0.6666666666666666,0.0,Water,20190302 105829,88342.79,470571.44,Spring
50,0.3023255813953488,0.3011152416356877,0.3319397993311037,0.43753963221306275,0.8555555555555555,0.49019607843137253,Laag gras,20190302 105829,88817.611,470869.189,Spring
51,0.263953488372093,0.23513011152416355,0.22240802675585286,0.3417882054533925,0.7777777777777778,0.592156862745098,Struweel,20190302 105829,88875.561,470853.92,Spring
52,0.4906976744186047,0.46468401486988853,0.4397993311036789,0.43880786303107167,0.7111111111111111,0.00392156862745098,Pad,20190302 105829,88766.629,471740.526,Spring
53,0.3593023255813953,0.3810408921933085,0.4172240802675585,0.4413443246670894,0.8111111111111112,0.00392156862745098,Zand,20190302 105829,88741.7,470682.28,Spring
54,0.23953488372093024,0.21282527881040889,0.19899665551839463,0.2878883956880152,0.7111111111111111,0.4117647058823529,Struweel,20190302 105829,88324.65,470609.61,Spring
55,0.21976744186046515,0.1960966542750929,0.15551839464882944,0.32403297400126824,0.7888888888888889,0.00392156862745098,Laag gras,20190302 105829,87953.4,469948.07,Spring
56,0.2325581395348837,0.19795539033457246,0.1797658862876254,0.2777425491439442,0.7111111111111111,0.18823529411764706,Laag gras,20190302 105829,87827.018,469945.491,Spring
57,0.22325581395348837,0.1849442379182156,0.15635451505016723,0.2276474318325935,0.6222222222222223,0.2392156862745098,Struweel,20190302 105829,88517.91,471367.65,Spring
58,0.32558139534883723,0.3094795539033457,0.3193979933110368,0.3893468611287254,0.7777777777777778,0.00392156862745098,Hoog gras,20190302 105829,88468.971,471411.524,Spring
59,0.43023255813953487,0.46654275092936803,0.535953177257525,0.5814838300570704,0.888888888888889,0.00392156862745098,Zand,20190302 105829,88647.86,471009.67,Spring
60,0.3872093023255814,0.40706319702602234,0.44397993311036793,0.46987951807228917,0.8222222222222223,0.13333333333333333,Zand,20190302 105829,88174.09,470433.76,Spring
